year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.98450298827305,288.71766737959535,BCC-CSM2-MR,ssp126,r1i1p1f1
2016,290.1666305162659,288.9077341336601,BCC-CSM2-MR,ssp126,r1i1p1f1
2017,290.1692074528416,288.9756315554396,BCC-CSM2-MR,ssp126,r1i1p1f1
2018,290.03055089400874,288.8219210519521,BCC-CSM2-MR,ssp126,r1i1p1f1
2019,290.0770274107844,288.851835540694,BCC-CSM2-MR,ssp126,r1i1p1f1
2020,290.1614852990198,288.91357278913534,BCC-CSM2-MR,ssp126,r1i1p1f1
2021,290.2586258479731,289.0326249756272,BCC-CSM2-MR,ssp126,r1i1p1f1
2022,290.345336049076,289.11017162171544,BCC-CSM2-MR,ssp126,r1i1p1f1
2023,290.23569910328473,288.98076012683407,BCC-CSM2-MR,ssp126,r1i1p1f1
2024,290.343384319527,289.10218962901024,BCC-CSM2-MR,ssp126,r1i1p1f1
2025,290.4855065098846,289.25713010069387,BCC-CSM2-MR,ssp126,r1i1p1f1
2026,290.4480907306225,289.1907638584018,BCC-CSM2-MR,ssp126,r1i1p1f1
2027,290.2849112165906,289.04851921610754,BCC-CSM2-MR,ssp126,r1i1p1f1
2028,290.3726503796283,289.14873960382437,BCC-CSM2-MR,ssp126,r1i1p1f1
2029,290.4702194888142,289.2205990639928,BCC-CSM2-MR,ssp126,r1i1p1f1
2030,290.38764773221425,289.1462108097026,BCC-CSM2-MR,ssp126,r1i1p1f1
2031,290.48271529217647,289.281261201256,BCC-CSM2-MR,ssp126,r1i1p1f1
2032,290.3950245828599,289.1969184710672,BCC-CSM2-MR,ssp126,r1i1p1f1
2033,290.5359126668586,289.3819895353802,BCC-CSM2-MR,ssp126,r1i1p1f1
2034,290.4488601222076,289.2684231404231,BCC-CSM2-MR,ssp126,r1i1p1f1
2035,290.5617711912051,289.36102198193674,BCC-CSM2-MR,ssp126,r1i1p1f1
2036,290.57190289813633,289.41950741140244,BCC-CSM2-MR,ssp126,r1i1p1f1
2037,290.5214308974834,289.3217766954984,BCC-CSM2-MR,ssp126,r1i1p1f1
2038,290.6219963150099,289.42594491696997,BCC-CSM2-MR,ssp126,r1i1p1f1
2039,290.4371054992679,289.25333687080945,BCC-CSM2-MR,ssp126,r1i1p1f1
2040,290.51746364737033,289.3486081092474,BCC-CSM2-MR,ssp126,r1i1p1f1
2041,290.59967000663437,289.37062365643544,BCC-CSM2-MR,ssp126,r1i1p1f1
2042,290.6137959633027,289.43069450671413,BCC-CSM2-MR,ssp126,r1i1p1f1
2043,290.5832327123888,289.36641247977184,BCC-CSM2-MR,ssp126,r1i1p1f1
2044,290.59910294347634,289.3834322274542,BCC-CSM2-MR,ssp126,r1i1p1f1
2045,290.5413402725636,289.31561974245545,BCC-CSM2-MR,ssp126,r1i1p1f1
2046,290.7025222143612,289.4941467701187,BCC-CSM2-MR,ssp126,r1i1p1f1
2047,290.7085693699576,289.54116414693374,BCC-CSM2-MR,ssp126,r1i1p1f1
2048,290.7875226156162,289.5884651244756,BCC-CSM2-MR,ssp126,r1i1p1f1
2049,290.71316146665373,289.5167979613277,BCC-CSM2-MR,ssp126,r1i1p1f1
2050,290.70977755923064,289.5319649756605,BCC-CSM2-MR,ssp126,r1i1p1f1
2051,290.6768095142409,289.49174668840504,BCC-CSM2-MR,ssp126,r1i1p1f1
2052,290.90614766634894,289.7454888927819,BCC-CSM2-MR,ssp126,r1i1p1f1
2053,290.78760691036075,289.6342015973845,BCC-CSM2-MR,ssp126,r1i1p1f1
2054,290.73079911291865,289.5246504058,BCC-CSM2-MR,ssp126,r1i1p1f1
2055,290.7849554165423,289.60898967363386,BCC-CSM2-MR,ssp126,r1i1p1f1
2056,290.8536691846396,289.6934803974725,BCC-CSM2-MR,ssp126,r1i1p1f1
2057,290.8681895739333,289.6410285367329,BCC-CSM2-MR,ssp126,r1i1p1f1
2058,290.82916363536197,289.619367605257,BCC-CSM2-MR,ssp126,r1i1p1f1
2059,290.7822920836585,289.6017737978738,BCC-CSM2-MR,ssp126,r1i1p1f1
2060,290.77041634894636,289.5340824097011,BCC-CSM2-MR,ssp126,r1i1p1f1
2061,290.7224157874263,289.5641140449784,BCC-CSM2-MR,ssp126,r1i1p1f1
2062,290.7092953519452,289.5555767712697,BCC-CSM2-MR,ssp126,r1i1p1f1
2063,290.7249532522284,289.5462304215153,BCC-CSM2-MR,ssp126,r1i1p1f1
2064,290.674065933381,289.47058155314716,BCC-CSM2-MR,ssp126,r1i1p1f1
2065,290.67861925491246,289.486301478127,BCC-CSM2-MR,ssp126,r1i1p1f1
2066,290.72182855057645,289.5050299291209,BCC-CSM2-MR,ssp126,r1i1p1f1
2067,290.7882706981678,289.5919177035955,BCC-CSM2-MR,ssp126,r1i1p1f1
2068,290.8444351981766,289.6508786630777,BCC-CSM2-MR,ssp126,r1i1p1f1
2069,290.787718507284,289.6106180713842,BCC-CSM2-MR,ssp126,r1i1p1f1
2070,290.83816852555657,289.65527334819546,BCC-CSM2-MR,ssp126,r1i1p1f1
2071,290.7922316961235,289.6026346807977,BCC-CSM2-MR,ssp126,r1i1p1f1
2072,290.7832734007661,289.59764886809586,BCC-CSM2-MR,ssp126,r1i1p1f1
2073,290.83835745496714,289.6677016313096,BCC-CSM2-MR,ssp126,r1i1p1f1
2074,290.7833927590262,289.59515435996934,BCC-CSM2-MR,ssp126,r1i1p1f1
2075,290.6812184161743,289.49483835350674,BCC-CSM2-MR,ssp126,r1i1p1f1
2076,290.8005333680681,289.6299085771493,BCC-CSM2-MR,ssp126,r1i1p1f1
2077,290.84609852461375,289.6942996691031,BCC-CSM2-MR,ssp126,r1i1p1f1
2078,290.77954643585207,289.5960367524176,BCC-CSM2-MR,ssp126,r1i1p1f1
2079,290.73797011920317,289.6225127646572,BCC-CSM2-MR,ssp126,r1i1p1f1
2080,290.740767625829,289.5826695417172,BCC-CSM2-MR,ssp126,r1i1p1f1
2081,290.6460162881357,289.4790991318522,BCC-CSM2-MR,ssp126,r1i1p1f1
2082,290.7233340953527,289.52764685197127,BCC-CSM2-MR,ssp126,r1i1p1f1
2083,290.71270310735565,289.5226281607571,BCC-CSM2-MR,ssp126,r1i1p1f1
2084,290.74559274066235,289.5620395453161,BCC-CSM2-MR,ssp126,r1i1p1f1
2085,290.7475168498973,289.60584476816314,BCC-CSM2-MR,ssp126,r1i1p1f1
2086,290.65787740234794,289.51438170679717,BCC-CSM2-MR,ssp126,r1i1p1f1
2087,290.7444227411419,289.5508652920861,BCC-CSM2-MR,ssp126,r1i1p1f1
2088,290.6235976833596,289.4428920324104,BCC-CSM2-MR,ssp126,r1i1p1f1
2089,290.5511874635081,289.3548151131,BCC-CSM2-MR,ssp126,r1i1p1f1
2090,290.5769964263677,289.37711583447697,BCC-CSM2-MR,ssp126,r1i1p1f1
2091,290.656239801436,289.45639032795646,BCC-CSM2-MR,ssp126,r1i1p1f1
