year,no_arctic_tas,world_tas,Model,Experiment,Ensemble_member
2015,289.1949359193434,288.03450816927125,CAS-ESM2-0,ssp126,r1i1p1f1
2016,289.2801658569962,288.12276172097575,CAS-ESM2-0,ssp126,r1i1p1f1
2017,289.20681331660217,288.08538287461704,CAS-ESM2-0,ssp126,r1i1p1f1
2018,288.9755238677531,287.834115281976,CAS-ESM2-0,ssp126,r1i1p1f1
2019,289.16791336606315,288.0220310538995,CAS-ESM2-0,ssp126,r1i1p1f1
2020,289.5215477372115,288.38774838173237,CAS-ESM2-0,ssp126,r1i1p1f1
2021,289.4465041893804,288.2809897559167,CAS-ESM2-0,ssp126,r1i1p1f1
2022,289.24373163372957,288.09178332006144,CAS-ESM2-0,ssp126,r1i1p1f1
2023,289.59946023524196,288.4496930725038,CAS-ESM2-0,ssp126,r1i1p1f1
2024,289.7424442720254,288.6042545565222,CAS-ESM2-0,ssp126,r1i1p1f1
2025,289.5848279408751,288.4482260323947,CAS-ESM2-0,ssp126,r1i1p1f1
2026,289.768588660334,288.62356132208305,CAS-ESM2-0,ssp126,r1i1p1f1
2027,289.5926846533213,288.4506066257451,CAS-ESM2-0,ssp126,r1i1p1f1
2028,289.7317777493367,288.5894891328046,CAS-ESM2-0,ssp126,r1i1p1f1
2029,289.76468211466016,288.6254174543486,CAS-ESM2-0,ssp126,r1i1p1f1
2030,289.5018787271271,288.40999656735033,CAS-ESM2-0,ssp126,r1i1p1f1
2031,289.69841404819647,288.5819986910534,CAS-ESM2-0,ssp126,r1i1p1f1
2032,289.85605542125853,288.76569112711644,CAS-ESM2-0,ssp126,r1i1p1f1
2033,289.5828012229136,288.4732595294942,CAS-ESM2-0,ssp126,r1i1p1f1
2034,289.5095386130984,288.3910648357537,CAS-ESM2-0,ssp126,r1i1p1f1
2035,289.7096902878521,288.54640529923284,CAS-ESM2-0,ssp126,r1i1p1f1
2036,289.4342641759918,288.30797866990736,CAS-ESM2-0,ssp126,r1i1p1f1
2037,289.85326247584146,288.71178308053805,CAS-ESM2-0,ssp126,r1i1p1f1
2038,289.98837888625343,288.8408412582059,CAS-ESM2-0,ssp126,r1i1p1f1
2039,290.0344926711473,288.90689376890424,CAS-ESM2-0,ssp126,r1i1p1f1
2040,289.9409809161737,288.8621497769651,CAS-ESM2-0,ssp126,r1i1p1f1
2041,289.85375805967567,288.72788795323976,CAS-ESM2-0,ssp126,r1i1p1f1
2042,290.09950282161225,288.9727495310403,CAS-ESM2-0,ssp126,r1i1p1f1
2043,290.21653493228916,289.1193413460616,CAS-ESM2-0,ssp126,r1i1p1f1
2044,290.29411549296964,289.19954357899746,CAS-ESM2-0,ssp126,r1i1p1f1
2045,290.00804448237074,288.9007714651207,CAS-ESM2-0,ssp126,r1i1p1f1
2046,289.89973264574786,288.79507973785036,CAS-ESM2-0,ssp126,r1i1p1f1
